2023-08-25 16:00:57,863 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005998'}
2023-08-25 16:00:58,452 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.00599'}
2023-08-25 16:00:58,956 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.00599'}
2023-08-25 16:00:59,749 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.00599'}
2023-08-25 16:01:00,254 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.00599'}
2023-08-25 16:01:00,997 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.00599'}
2023-08-25 16:01:01,650 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.00599'}
2023-08-25 16:01:02,139 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.00599'}
2023-08-25 16:01:02,534 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:01:03,062 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:01:03,542 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:01:04,368 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:01:05,147 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:01:05,726 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:01:06,206 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:01:06,949 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:01:07,491 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:01:07,884 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:01:08,539 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:01:09,218 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:01:09,977 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0059'}
2023-08-25 16:01:10,717 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0059'}
2023-08-25 16:01:11,314 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0059'}
2023-08-25 16:01:11,880 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0059'}
2023-08-25 16:01:12,608 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0059'}
2023-08-25 16:01:13,215 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0059'}
2023-08-25 16:01:13,920 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0058'}
2023-08-25 16:01:14,660 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0058'}
2023-08-25 16:01:15,426 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0058'}
2023-08-25 16:01:16,032 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0058'}
2023-08-25 16:01:16,426 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0058'}
2023-08-25 16:01:17,129 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0058'}
2023-08-25 16:01:17,786 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005796'}
2023-08-25 16:01:18,316 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005797'}
2023-08-25 16:01:18,959 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005797'}
2023-08-25 16:01:19,597 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005797'}
